Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame
DENR		WashU	TCGA-OR-A5JP-01	ZIM2-DENR				
BLVRB		WashU	TCGA-OR-A5JP-01	ARMC9-BLVRB				
COX8A		WashU	TCGA-OR-A5JP-01	SCAMP4-COX8A				frameshift
OR5V1		WashU	TCGA-OR-A5JP-01	MYLIP-OR5V1				
ARHGAP35		WashU	TCGA-OR-A5JP-01	ZC3H4-ARHGAP35				
ARMC9		WashU	TCGA-OR-A5JP-01	LAPTM4B-ARMC9				frameshift
CTU2		WashU	TCGA-OR-A5JP-01	QSOX2-CTU2				frameshift
CACNA1G		WashU	TCGA-OR-A5JP-01	RECQL5-CACNA1G				in-frame
MTCO1P12		WashU	TCGA-OR-A5JR-01	DLK1-MTCO1P12				
EFNA5		WashU	TCGA-OR-A5JS-01	NSD1-EFNA5				in-frame
SKAP1		WashU	TCGA-OR-A5JS-01	GJC1-SKAP1				
CEP112		WashU	TCGA-OR-A5JS-01	TLK2-CEP112				in-frame
SLCO6A1		WashU	TCGA-OR-A5JS-01	CCNG1-SLCO6A1				
TERT		WashU	TCGA-OR-A5JS-01	CCDC47-TERT				
PJA2		WashU	TCGA-OR-A5JS-01	UIMC1-PJA2				
GLIS3		WashU	TCGA-OR-A5JS-01	INTS2-GLIS3				frameshift
SPAG4		WashU	TCGA-OR-A5JT-01	PHF20-SPAG4				in-frame
DLK1		WashU	TCGA-OR-A5JT-01	C4B-DLK1				in-frame
C20orf144		WashU	TCGA-OR-A5JT-01	ZNF341-C20orf144				in-frame
DLK1		WashU	TCGA-OR-A5JT-01	CYC1-DLK1				frameshift
DLK1		WashU	TCGA-OR-A5JT-01	RPL10-DLK1				
IGF2		WashU	TCGA-OR-A5JT-01	NKAIN4-IGF2				
CLPTM1L		WashU	TCGA-OR-A5JV-01	ADGRV1-CLPTM1L				in-frame
REEP2		WashU	TCGA-OR-A5JX-01	APC-REEP2				in-frame
NOV		WashU	TCGA-OR-A5JY-01	GABRA5-NOV				
CPA2		WashU	TCGA-OR-A5JY-01	CREB3L2-CPA2				in-frame
YPEL1		WashU	TCGA-OR-A5JY-01	COMT-YPEL1				
CABIN1		WashU	TCGA-OR-A5JY-01	HPS4-CABIN1				in-frame
TXNRD2		WashU	TCGA-OR-A5JY-01	ASCC3-TXNRD2				
CFAP206		WashU	TCGA-OR-A5JY-01	UBE2J1-CFAP206				frameshift
RRP7BP		WashU	TCGA-OR-A5JY-01	PAFAH1B2-RRP7BP				
NUSAP1		WashU	TCGA-OR-A5JY-01	MGA-NUSAP1				frameshift
SLCO1A2		WashU	TCGA-OR-A5JY-01	FGD4-SLCO1A2				
C15orf41		WashU	TCGA-OR-A5JY-01	VPS26B-C15orf41				in-frame
PXT1		WashU	TCGA-OR-A5JY-01	UBR2-PXT1				frameshift
CDH3		WashU	TCGA-OR-A5JY-01	WWOX-CDH3				in-frame
PLCL1		WashU	TCGA-OR-A5JY-01	KCTD18-PLCL1				
BLK		WashU	TCGA-OR-A5JY-01	PKIB-BLK				
ATG7		WashU	TCGA-OR-A5JY-01	TBL1XR1-ATG7				
EHHADH		WashU	TCGA-OR-A5JY-01	LIPH-EHHADH				in-frame
PALM		WashU	TCGA-OR-A5JY-01	MBD3-PALM				frameshift
SGF29		WashU	TCGA-OR-A5JZ-01	C5orf56-SGF29				
POU2AF1		WashU	TCGA-OR-A5JZ-01	MADD-POU2AF1				
SNORA31		WashU	TCGA-OR-A5JZ-01	LRFN5-SNORA31				
C5orf42		WashU	TCGA-OR-A5JZ-01	SPEF2-C5orf42				frameshift
SLC38A8		WashU	TCGA-OR-A5K0-01	MBTPS1-SLC38A8				
SPATA33		WashU	TCGA-OR-A5K2-01	NFIC-SPATA33				frameshift
TPTEP1		WashU	TCGA-OR-A5K2-01	MICAL3-TPTEP1				
LRP5		WashU	TCGA-OR-A5K2-01	TLCD2-LRP5				in-frame
WASHC1		WashU	TCGA-OR-A5K4-01	PCMTD2-WASHC1				
AMH		WashU	TCGA-OR-A5K5-01	OAZ1-AMH				
CTNNBIP1		WashU	TCGA-OR-A5K5-01	SIK3-CTNNBIP1				frameshift
CCDC130		WashU	TCGA-OR-A5K5-01	LDLR-CCDC130				
FANCD2		WashU	TCGA-OR-A5K5-01	BRK1-FANCD2				frameshift
CIB4		WashU	TCGA-OR-A5K5-01	TXNDC11-CIB4				in-frame
PLVAP		WashU	TCGA-OR-A5K5-01	RAB8A-PLVAP				frameshift
PCYT1A		WashU	TCGA-OR-A5K5-01	ZDHHC19-PCYT1A				
MERTK		WashU	TCGA-OR-A5K5-01	TMEM87B-MERTK				frameshift
RAB1A		WashU	TCGA-OR-A5K5-01	KCMF1-RAB1A				frameshift
BSCL2		WashU	TCGA-OR-A5K5-01	MSH5-BSCL2				in-frame
MSH5		WashU	TCGA-OR-A5K5-01	SENP2-MSH5				in-frame
MICU1		WashU	TCGA-OR-A5K5-01	BTRC-MICU1				
MEF2B		WashU	TCGA-OR-A5K5-01	RPRD1B-MEF2B				
BAMBI		WashU	TCGA-OR-A5K5-01	TXNDC11-BAMBI				frameshift
NPAS1		WashU	TCGA-OR-A5K5-01	ARMC9-NPAS1				
MCU		WashU	TCGA-OR-A5K5-01	DPY30-MCU				
MCU		WashU	TCGA-OR-A5K5-01	MEMO1-MCU				in-frame
LRSAM1		WashU	TCGA-OR-A5K5-01	MYO1F-LRSAM1				
PARD3B		WashU	TCGA-OR-A5K5-01	ZC3H8-PARD3B				frameshift
GCA		WashU	TCGA-OR-A5K5-01	FRA10AC1-GCA				frameshift
SERTAD1		WashU	TCGA-OR-A5K5-01	KCNMA1-SERTAD1				in-frame
CRYGD		WashU	TCGA-OR-A5K5-01	MINDY3-CRYGD				frameshift
SCN3A		WashU	TCGA-OR-A5K5-01	TMEM182-SCN3A				frameshift
TEX2		WashU	TCGA-OR-A5K6-01	ERN1-TEX2				in-frame
RASSF3		WashU	TCGA-OR-A5K9-01	ANKRD52-RASSF3				in-frame
PLEKHG4B		WashU	TCGA-OR-A5K9-01	OLFM2-PLEKHG4B				in-frame
SGTA		WashU	TCGA-OR-A5K9-01	PALM-SGTA				
PRLR		WashU	TCGA-OR-A5K9-01	MLLT1-PRLR				
IKZF4		WashU	TCGA-OR-A5K9-01	FAM19A2-IKZF4				
DYRK2		WashU	TCGA-OR-A5K9-01	ANKRD52-DYRK2				in-frame
CASP14		WashU	TCGA-OR-A5K9-01	SUGP1-CASP14				
COX4I1		WashU	TCGA-OR-A5KO-01	SYNJ2-COX4I1				frameshift
SLC35F1		WashU	TCGA-OR-A5KO-01	NT5DC1-SLC35F1				frameshift
TVP23A		WashU	TCGA-OR-A5KO-01	FLYWCH1-TVP23A				
SLC16A7		WashU	TCGA-OR-A5KT-01	PYM1-SLC16A7				frameshift
SARNP		WashU	TCGA-OR-A5KT-01	SLC16A7-SARNP				
TSPAN8		WashU	TCGA-OR-A5KT-01	SPATS2-TSPAN8				frameshift
FUNDC1		WashU	TCGA-OR-A5KV-01	KDM6A-FUNDC1				frameshift
SSX2		WashU	TCGA-OR-A5KV-01	JADE3-SSX2				in-frame
APOO		WashU	TCGA-OR-A5KV-01	REPS2-APOO				in-frame
PAGE5		WashU	TCGA-OR-A5KV-01	GNL3L-PAGE5				in-frame
ZNF839		WashU	TCGA-OR-A5KW-01	BRMS1L-ZNF839				in-frame
PACSIN3		WashU	TCGA-OR-A5KW-01	ARFGAP2-PACSIN3				in-frame
RPL23		WashU	TCGA-OR-A5KX-01	ARHGAP23-RPL23				frameshift
KCNQ1		WashU	TCGA-OR-A5KX-01	FN3KRP-KCNQ1				in-frame
SLC52A2		WashU	TCGA-OR-A5KX-01	PPP1R16A-SLC52A2				
WDR92		WashU	TCGA-OR-A5KX-01	PPP3R1-WDR92				frameshift
HAUS8		WashU	TCGA-OR-A5KX-01	FKBP8-HAUS8				frameshift
CYP4F22		WashU	TCGA-OR-A5KX-01	GIPC1-CYP4F22				
ADGRE5		WashU	TCGA-OR-A5KX-01	ZNF626-ADGRE5				frameshift
BNIP3L		WashU	TCGA-OR-A5KX-01	CDH12-BNIP3L				
CDH12		WashU	TCGA-OR-A5KX-01	PRLR-CDH12				
LRRC37A11P		WashU	TCGA-OR-A5KX-01	CDK12-LRRC37A11P				
GIPC1		WashU	TCGA-OR-A5KX-01	ASF1B-GIPC1				
SGCZ		WashU	TCGA-OR-A5KX-01	DNAJC21-SGCZ				frameshift
RAD51C		WashU	TCGA-OR-A5KY-01	CHD3-RAD51C				in-frame
BCAM		WashU	TCGA-OR-A5KY-01	PPP1R37-BCAM				in-frame
ASIP		WashU	TCGA-OR-A5KY-01	B4GALT5-ASIP				
PIK3R2		WashU	TCGA-OR-A5KY-01	TSPAN18-PIK3R2				
MTA3		WashU	TCGA-OR-A5KY-01	ASB3-MTA3				
ESRRB		WashU	TCGA-OR-A5KY-01	FHOD3-ESRRB				in-frame
EIF5A		WashU	TCGA-OR-A5KY-01	ALDH3A2-EIF5A				in-frame
LRP4		WashU	TCGA-OR-A5KY-01	AMBRA1-LRP4				in-frame
C2orf74		WashU	TCGA-OR-A5KY-01	AHSA2-C2orf74				frameshift
ATOH8		WashU	TCGA-OR-A5KY-01	TMEM248-ATOH8				in-frame
ACTB		WashU	TCGA-OR-A5KY-01	ALDH2-ACTB				in-frame
SHBG		WashU	TCGA-OR-A5KY-01	CTDNEP1-SHBG				frameshift
CEP41		WashU	TCGA-OR-A5KZ-01	VPS41-CEP41				in-frame
NDUFS2		WashU	TCGA-OR-A5KZ-01	UBR2-NDUFS2				frameshift
CIDEC		WashU	TCGA-OR-A5L6-01	PLBD2-CIDEC				in-frame
NAPRT		WashU	TCGA-OR-A5L6-01	CLK1-NAPRT				frameshift
TMF1		WashU	TCGA-OR-A5LB-01	FAM19A4-TMF1				in-frame
CHMP1A		WashU	TCGA-OR-A5LB-01	LMBR1-CHMP1A				frameshift
UROC1		WashU	TCGA-OR-A5LD-01	ZXDC-UROC1				frameshift
CDH8		WashU	TCGA-OR-A5LD-01	AUTS2-CDH8				frameshift
C1QL1		WashU	TCGA-OR-A5LD-01	KIF18B-C1QL1				
TNNI2		WashU	TCGA-OR-A5LE-01	CCDC117-TNNI2				
MED6		WashU	TCGA-OR-A5LG-01	MAP3K9-MED6				in-frame
MAP3K9		WashU	TCGA-OR-A5LG-01	MED6-MAP3K9				in-frame
CATIP-AS2		WashU	TCGA-OR-A5LJ-01	TNS1-CATIP-AS2				
FCGR3B		WashU	TCGA-OR-A5LL-01	NOTCH2NL-FCGR3B				
TTC23L		WashU	TCGA-OR-A5LL-01	MMACHC-TTC23L				in-frame
TRAPPC8		WashU	TCGA-OR-A5LL-01	ZNF616-TRAPPC8				frameshift
SMIM13		WashU	TCGA-OR-A5LM-01	CMTR1-SMIM13				frameshift
FNBP4		WashU	TCGA-OR-A5LO-01	CELF1-FNBP4				in-frame
ACOT2		WashU	TCGA-OR-A5LO-01	QRICH1-ACOT2				in-frame
COL5A1		WashU	TCGA-OR-A5LO-01	FCN2-COL5A1				frameshift
KIF1BP		WashU	TCGA-OR-A5LO-01	VPS26A-KIF1BP				in-frame
GSE1		WashU	TCGA-OR-A5LO-01	MINOS1-GSE1				in-frame
PRR35		WashU	TCGA-OR-A5LO-01	RAB40C-PRR35				
ALPL		WashU	TCGA-OR-A5LO-01	PGPEP1-ALPL				
DAZAP2		WashU	TCGA-OR-A5LO-01	RASSF3-DAZAP2				frameshift
LACE1		WashU	TCGA-OR-A5LO-01	FOXO3-LACE1				in-frame
NOLC1		WashU	TCGA-OR-A5LO-01	GBF1-NOLC1				in-frame
AHCY		WashU	TCGA-OR-A5LO-01	WRAP53-AHCY				in-frame
BCO1		WashU	TCGA-OR-A5LO-01	CMIP-BCO1				frameshift
RFPL1S		WashU	TCGA-OR-A5LO-01	AP1B1-RFPL1S				
TNFSF13		WashU	TCGA-OR-A5LO-01	FOXK2-TNFSF13				frameshift
MUC22		WashU	TCGA-OR-A5LO-01	CAPZB-MUC22				frameshift
TXLNG		WashU	TCGA-OR-A5LO-01	REPS2-TXLNG				frameshift
STX5		WashU	TCGA-OR-A5LR-01	TYW1B-STX5				frameshift
TDRD10		WashU	TCGA-OR-A5LS-01	IL6R-TDRD10				frameshift
HSD17B10		WashU	TCGA-OU-A5PI-01	HNRNPA2B1-HSD17B10				in-frame
VAC14		WashU	TCGA-OU-A5PI-01	ST3GAL2-VAC14				
WTIP		WashU	TCGA-OU-A5PI-01	PLCB1-WTIP				in-frame
BST1		WashU	TCGA-OU-A5PI-01	CC2D2A-BST1				in-frame
EXD3		WashU	TCGA-P6-A5OF-01	YPEL3-EXD3				in-frame
IL17B		WashU	TCGA-P6-A5OF-01	DCP2-IL17B				in-frame
TSC2		WashU	TCGA-P6-A5OF-01	GNB1-TSC2				
TONSL		WashU	TCGA-P6-A5OF-01	CPSF1-TONSL				frameshift
DYNC1I1		WashU	TCGA-P6-A5OF-01	ASB4-DYNC1I1				
DUSP8		WashU	TCGA-PA-A5YG-01	KCNQ1-DUSP8				
IGF2		WashU	TCGA-PK-A5H8-01	DNAJC4-IGF2				
IGF2		WashU	TCGA-PK-A5H8-01	MAMSTR-IGF2				
IGF2		WashU	TCGA-PK-A5H9-01	ARAP1-IGF2				
IGF2		WashU	TCGA-PK-A5H9-01	CLUH-IGF2				
IGF2		WashU	TCGA-PK-A5H9-01	GALNT2-IGF2				
DENND1A		WashU	TCGA-PK-A5HA-01	RCC1L-DENND1A				in-frame
LAMP3		WashU	TCGA-PK-A5HA-01	MCCC1-LAMP3				frameshift
FRMD5		WashU	TCGA-PK-A5HA-01	PPIP5K1-FRMD5				frameshift
RPP14		WashU	TCGA-PK-A5HA-01	PXK-RPP14				frameshift
TMEM94		WashU	TCGA-PK-A5HA-01	NUP85-TMEM94				
VPS72		WashU	TCGA-PK-A5HA-01	SEMA6C-VPS72				frameshift
U82695.5		WashU	TCGA-PK-A5HB-01	RUSC2-U82695.5				
PACSIN2		WashU	TCGA-PK-A5HB-01	RRP7A-PACSIN2				in-frame
ZRANB3		WashU	TCGA-PK-A5HB-01	TSGA10-ZRANB3				
